Creator,Tiktok rate:,tiktok,instagram reel:,insta:,snapchat rate:,snapchat:,yt shorts,yt shorts rate:,Niche,
BEAUTY CREATORS,,,,,,,,,,
Jazzy,"$2,000.00",https://www.tiktok.com/@jazzybaby99?lang=en,"$2,000.00",https://www.instagram.com/jxsmnetea/?hl=en,- ,-,-,-,beauty,
Matteo Randon,"$4,000.00",https://www.tiktok.com/@mattrandon,"$5,500.00",https://www.instagram.com/mattrandon/,-,-,https://www.youtube.com/@MattRandon,"$3,000.00",beauty,
Faithdelacruz,"$6,750",https://www.tiktok.com/@faithdelacruz_,-,-,-,-,-,-,Beauty,
Sydney Belle,"$2,000",https://www.tiktok.com/@thesydneybelle,"$2,000",https://www.instagram.com/thesydneybelle/?hl=en,-,-,-,-,Beauty,
Gabby Vigorito,"$2,500",https://www.tiktok.com/@gabriella_vigorito,"$1,000",https://www.instagram.com/gabriella__vigorito/reels/?hl=en,-,-,-,-,Beauty,
Isaa,"$1,000",https://www.tiktok.com/@grwm._isaaa,"$1,000",https://www.instagram.com/grwm._isaaa/?hl=en,-,-,-,-,beauty,
Samantha Sherer,"$1,500",https://www.tiktok.com/@thecoachsamantha?_t=8h0QbmHFHjT&_r=1,"$1,000",https://www.instagram.com/thecoachsamantha/?hl=en,-,-,-,-,beauty/parent,
Mumma Mics ASMR,-,-,-,-,-,-,https://www.youtube.com/@Mummamicasmr,$600,Beauty ASMR,
Alice Hez,$400,https://www.tiktok.com/@alice_hez,-,-,-,-,-,-,Beauty,
Isabela,-,https://www.tiktok.com/@isamanescu,-,https://www.instagram.com/isamanescu/?hl=en,-,-,-,-,Beauty/work,eu
Tessa.bear,-,https://www.tiktok.com/@tessa.bear,-,-,-,-,-,-,Dance/Beauty,
Katie Angel,"$4,000",https://www.tiktok.com/@katieangeltv1,"$5,000",https://www.instagram.com/katieangeltv,-,-,https://www.youtube.com/@KatieAngelTV_,"$2,000",beauty/fashion,eu
skylar rose,"$2,500",https://www.tiktok.com/@skysayingthings,"$2,500",https://www.instagram.com/skysayingthings?igsh=cjFxNnkxdHJ2Mm4x&utm_source=qr,-,-,-,-,beauty/lifestyle,
Mariam george,"$1,700",https://www.tiktok.com/@themariamgeorge,-,"$2,000",-,-,https://www.youtube.com/@Themariamgeorge/shorts,"$1,000",beauty,
lily,-,https://www.tiktok.com/@lilyisalilsleepy?lang=en,-,-,-,-,-,-,Beauty,
FOOD CREATORS,,,,,,,,,,
Jillz Foodz,"$5,000.00",https://www.tiktok.com/@jillzfoodz_,"$4,000.00",https://www.instagram.com/jillzfoodz___/?hl=en,-,JillzFoodz1,https://www.youtube.com/@jillzfoodz,TBD,Lifestyle/food,
Kim n Liza ASMR,"$15,000.00",https://www.tiktok.com/@kimnlizasmr?lang=en,-,-,-,-,https://www.youtube.com/@KimLizASMR/videos,"$20,000.00",food,
Angelo M,"$20,000.00",https://www.tiktok.com/@_angelomarasigan ,"$15,000.00",https://www.instagram.com/_angelo.marasigan/,-,-,-,-,food/lifestyle,
ben ried,"$4,000",https://www.tiktok.com/@itsbenreid,"$2,500",https://www.instagram.com/ben_reid_?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,-,-,-,-,Food/pranks,
Aubreyandnikki,$500,https://www.tiktok.com/@aubreyandnikki,-,-,-,-,-,-,Food,
Blatant Reviews,-,https://www.tiktok.com/@blatantreviews,-,https://www.instagram.com/blatantreviewz/reels/?hl=en,-,-,-,-,Food,
Naomi,-,https://www.tiktok.com/@naomis_life16,-,-,-,-,-,-,Food,
FITNESS CREATORS,,,,,,,,,,
Matthew Scriv,"$8,000.00",https://www.tiktok.com/@matthewscriv?lang=en,"$4,000.00",https://www.instagram.com/matthewscriv/?hl=en,-,-,https://www.youtube.com/watch?v=9Vc1jBVOLx8,"$8,000.00",Fitness,
Sandhya Fitness,"$10,000.00",https://www.tiktok.com/@sandsxfitness?_t=8jvKY7HZR4a&_r=1,"$8,000.00",https://www.instagram.com/sandsxfitness/,-,-,-,-,Fitness,
